VINTAGE,Total UPB,Loan Count,Avg UPB,Int Rate WA,BRW FICO WA,CO BRW FICO WA,LTV WA,CLTV WA,DTI WA
1999,3032000,28,108286.0,6.6999999999999975,733.0,446.0,72.79999999999997,73.20000000000003,21.5
2000,997000,11,90636.0,7.799999999999998,711.0,731.0,81.0,81.0,34.5
2001,15212000,132,115242.0,6.5,729.0,602.0,72.89999999999982,73.29999999999998,19.19999999999999
2002,21774000,170,128082.0,6.200000000000019,746.0,489.0,73.60000000000022,74.10000000000022,25.40000000000004
2003,19123000,144,132799.0,5.7999999999999865,748.0,550.0,69.1000000000002,69.29999999999998,28.0
2004,12929000,89,145270.0,5.699999999999992,750.0,467.0,73.80000000000011,75.69999999999989,30.800000000000022
2005,139955000,872,160499.0,5.899999999999977,741.0,495.0,66.09999999999903,68.59999999999901,34.20000000000049
2006,25926576000,133689,193932.0,6.199999999988086,724.0,328.0,70.2999999999627,72.40000000018262,37.40000000000488
2007,216282839000,1111916,194514.0,6.400000000114214,723.0,323.0,72.20000000151478,74.20000000155427,37.700000000173716
2008,24850637000,114043,217906.0,5.5,757.0,414.0,70.0,71.20000000012966,34.89999999993574
2009,522013512000,2362736,220936.0,4.900000000213751,764.0,467.0,66.29999999990459,67.80000000017044,33.29999999851505
2010,217224671000,995040,218307.0,4.7999999999099545,767.0,492.0,67.2000000012208,68.60000000093362,32.19999999948443
2011,52641665000,241854,217659.0,4.0,770.0,484.0,67.90000000026059,69.40000000026218,31.599999999867997
2012,371208165000,1653665,224476.0,3.799999999886868,771.0,487.0,68.79999999805382,70.2000000019668,31.2000000007
2013,24518931000,117364,208914.0,4.400000000009378,753.0,403.0,75.59999999983465,76.5,34.29999999992789
2014,119106343000,556821,213904.0,4.300000000005672,753.0,407.0,76.0,76.79999999977085,34.300000000360065
2015,184826000,720,256703.0,3.800000000000022,761.0,462.0,72.30000000000076,73.40000000000092,34.0
2016,276495109000,1161454,238059.0,3.6000000000656547,759.0,415.0,72.59999999962041,73.20000000159645,33.10000000072507
2017,43735540000,185450,235835.0,4.19999999999031,749.0,366.0,75.1999999997822,75.80000000022198,36.799999999881074
2018,55723197000,240719,231486.0,4.300000000018818,748.0,368.0,74.5,75.0,36.90000000016558
